公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
深圳晶泰科技有限公司,晶泰科技,50-150人,C轮,海淀区,算法工程师,不限,硕士,12k-24k,"MIT大牛,五险一金,年底双薪,带薪年假"
北京粉笔蓝天科技有限公司,粉笔网,150-500人,不需要融资,朝阳区,算法工程师,5-10年,硕士,35k-70k,"年终奖,旅游基金,健身房,商业保险"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,闪购事业部-算法专家-北京,5-10年,博士,35k-65k,技术大牛
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,算法工程师,3-5年,硕士,35k-70k,"发展好,平台大,机会多,待遇好"
京东金融,京东金融,2000人以上,上市公司,大兴区,算法工程师,3-5年,硕士,25k-50k,"班车,餐补"
第四范式（北京）技术有限公司,第四范式,500-2000人,B轮,海淀区,语音算法,1-3年,硕士,25k-50k,"人工智能,大牛超多,晋升空间,各种福利"
北京汇通天下物联科技有限公司,G7,500-2000人,C轮,海淀区,算法工程师,5-10年,本科,20k-30k,"传感器,多融合,算法,图像识别"
北京九章云极科技有限公司,九章云极科技,150-500人,B轮,海淀区,算法专家,3-5年,本科,20k-35k,"技术大牛,领导好,弹性工作,扁平化管理"
上海阅文信息技术有限公司,阅文集团,500-2000人,上市公司,朝阳区,算法/数据挖掘高级工程师,3-5年,本科,30k-50k,"福利多,环境好,技术大牛多,晋升快"
杭州云脑科技有限公司,云脑科技,50-150人,A轮,朝阳区,算法工程师,3-5年,硕士,18k-36k,"五险一金,零食饮料,弹性工作,硅谷团队"
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,算法工程师,1-3年,本科,15k-30k,靠谱创业团队+初始成员+期权+高成长空间
上海业霆网络科技有限公司,小站教育,500-2000人,C轮,海淀区,算法工程师,3-5年,硕士,15k-25k,"发展平台好,成长空间大,薪资待遇好,办公环境佳"
北京鲸航科技有限公司,鲸航科技,50-150人,天使轮,海淀区,算法工程师,1-3年,本科,20k-35k,"期权池,分红,五险一金,带薪年假"
北京修齐治平科技有限公司,爱云校,500-2000人,C轮,朝阳区,算法工程师,3-5年,本科,20k-40k,带薪年假、期权激励、优良环境、每日鲜果
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,算法工程师,1-3年,硕士,15k-30k,业界领先
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,算法专家,3-5年,本科,30k-60k,一线互联网公司薪资+全年最高19薪+不打卡
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,算法工程师,3-5年,本科,30k-60k,"团队大牛,公司前景"
